N_cal,Regime,Coverage (%),Acc (Ans) (%),Mean BAS
50,UO (δ=0.0),100.0,13.0,-0.02581759662099546
50,HP (δ=0.5),1.9,89.47368421052632,-0.0362620864758057
100,UO (δ=0.0),100.0,13.0,-0.027158996731086994
100,HP (δ=0.5),1.9,89.47368421052632,-0.0362620864758057
250,UO (δ=0.0),100.0,13.0,-0.027130391700907936
250,HP (δ=0.5),1.9,89.47368421052632,-0.0362620864758057
500,UO (δ=0.0),100.0,13.0,0.02254265405973976
500,HP (δ=0.5),0.0,0.0,0.0
1000,UO (δ=0.0),100.0,13.0,0.01943621991351467
1000,HP (δ=0.5),0.0,0.0,0.0
